id,title,subtitle,authors,isbn,publisherName,publicationYear,editionNumber,active,selectable,type,found,error
59369378,Η ΜΕΘΟΔΟΣ ΤΩΝ ΠΕΠΕΡΑΣΜΕΝΩΝ ΣΤΟΙΧΕΙΩΝ,Προσομοίωση και Ανάλυση Κατασκευών,"ΑΒΡΑΜΙΔΗΣ Ι., ΑΘΑΝΑΤΟΠΟΥΛΟΥ Α., ΜΟΡΦΙΔΗΣ Κ.",9789606706929,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2016,1η Έκδοση,True,True,Published,True,
59373750,ΣΧΕΔΙΑΣΜΟΣ ΣΥΜΜΙΚΤΩΝ ΓΕΦΥΡΩΝ ΑΠΟ ΧΑΛΥΒΑ ΚΑΙ ΟΠΛΙΣΜΕΝΟ ΣΚΥΡΟΔΕΜΑ,,"ΙΩΑΝΝΗΣ ΒΑΓΙΑΣ, ΑΡΗΣ ΗΛΙΟΠΟΥΛΟΣ, ΠΑΥΛΟΣ ΘΑΝΟΠΟΥΛΟΣ",9789604617203,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2016,1η,True,True,Published,True,
59374011,Τεχνολογία Προστασίας Περιβάλλοντος - Επίτομο,,"Dietrich Thomas, Haberle Gregor, Haberle Heinz",9789603314660,ΜΑΡΙΑ ΠΑΡΙΚΟΥ & ΣΙΑ ΕΠΕ,2010,2η,True,True,Published,True,
59374709,Υπολογιστική ρευστομηχανική,,Μπεργελές Γ.,9789609400374,ΚΑΛΑΜΑΡΑ ΕΛΛΗ,2012,5η,True,True,Published,True,
59380527,ΤΕΧΝΙΚΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ,Διεργασίες Επεξεργασίας Νερού και Υγρών Αποβλήτων,ΝΤΑΡΑΚΑΣ ΕΥΘΥΜΙΟΣ,9789606706912,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2016,1η έκδοση,True,True,Published,True,
59390769,ΣΙΔΗΡΟΔΡΟΜΙΚΗ,,ΠΡΟΦΥΛΛΙΔΗΣ ΒΑΣΙΛΕΙΟΣ,9786185092221,EKΔOΣEIΣ ΓIAXOYΔH Ι.Κ.Ε.,2016,1,True,True,Published,True,
59397206,Εφαρμοσμένη Υδραυλική,Ροή υπό πίεση σε κλειστούς αγωγούς,Στάμου Αναστάσιος Ι.,9789604911097,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2016,3η έκδ.,True,True,Published,True,
68371902,"Βιοκλιματικός σχεδιασμός , 2η έκδοση",Κλιματική αλλαγή Περιβάλλον Βιωσιμότητα,Ανδρεαδάκη - Χρονάκη Ελένη,9789601223377,UNIVERSITY STUDIO PRESS - ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΓΡΑΦΙΚΩΝ ΤΕΧΝΩΝ ΚΑΙ ΕΚΔΟΣΕΩΝ,2017,2η έκδ.,True,True,Published,True,
68372423,Μόνιμες ροές με ελεύθερη επιφάνεια,,ΚΑΤΣΙΦΑΡΑΚΗΣ Λ. ΚΩΝΣΤΑΝΤΙΝΟΣ,9789606021763,ΑΦΟΙ ΚΥΡΙΑΚΙΔΗ ΕΚΔΟΣΕΙΣ Α.Ε.,2017,2η,True,True,Published,True,
68372433,Αρχιτεκτονικό Σχέδιο,Μεθοδολογία κατά τη σχεδίαση στην κλίμακα 1:50,"Σταματίνα Μαλικούτη, Νατάσα Μαρκοπούλου",9789605950248,ΣΥΓΧΡΟΝΗ ΕΚΔΟΤΙΚΗ ΕΠΕ,2017,1,True,True,Published,True,
