Τίτλος,Καθηγητής,Κωδικός μαθήματος,Εξάμηνο,Περίοδος,Από που δίνονται τα βιβλία,Book id,Σειρά επιλογής,Ενεργό
Οπλισμένο Σκυρόδεμα ΙΙΙ,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ024,8,Earino,EUDOXUS,10973,2,true
Οπλισμένο Σκυρόδεμα ΙΙΙ,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ024,8,Earino,EUDOXUS,86193772,1,true
Οπλισμένο Σκυρόδεμα ΙΙΙ,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ024,8,Earino,EUDOXUS,112694732,3,true
Αγγλικά-Τεχνική ορολογία,,ΓΕΝ010,8,Earino,EUDOXUS,77112857,0,true
Βαθιές θεμελιώσεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ009,8,Earino,EUDOXUS,33153307,3,true
Βαθιές θεμελιώσεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ009,8,Earino,EUDOXUS,50659236,0,true
Βαθιές θεμελιώσεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ009,8,Earino,EUDOXUS,102070523,1,true
Βαθιές θεμελιώσεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ009,8,Earino,EUDOXUS,11373,2,true
Βαθιές θεμελιώσεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ009,8,Earino,EUDOXUS,143551399,5,true
Βαθιές θεμελιώσεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ009,8,Earino,EUDOXUS,122079916,4,true
Εκσκαφές και Αντιστηρίξεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ010,8,Earino,EUDOXUS,68380141,5,true
Εκσκαφές και Αντιστηρίξεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ010,8,Earino,EUDOXUS,11373,2,true
Εκσκαφές και Αντιστηρίξεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ010,8,Earino,EUDOXUS,143551399,0,true
Εκσκαφές και Αντιστηρίξεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ010,8,Earino,EUDOXUS,122079920,4,true
Εκσκαφές και Αντιστηρίξεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ010,8,Earino,EUDOXUS,12978923,1,true
Εκσκαφές και Αντιστηρίξεις,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ010,8,Earino,EUDOXUS,122079916,3,true
Εδαφοδυναμική,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ011,8,Earino,EUDOXUS,11425,0,true
Εδαφοδυναμική,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ011,8,Earino,EUDOXUS,50659248,1,true
Εργαστηριακές και Επιτόπου Δοκιμές Εδαφομηχανικής,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ012,8,Earino,EUDOXUS,50662643,1,true
Εργαστηριακές και Επιτόπου Δοκιμές Εδαφομηχανικής,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ012,8,Earino,EUDOXUS,50659226,3,true
Εργαστηριακές και Επιτόπου Δοκιμές Εδαφομηχανικής,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ012,8,Earino,EUDOXUS,102070523,0,true
Εργαστηριακές και Επιτόπου Δοκιμές Εδαφομηχανικής,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ012,8,Earino,EUDOXUS,122081533,2,true
Προσομοίωση και Ανάλυση Κατασκευών,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ,ΔΟΜ025,8,Earino,EUDOXUS,68395522,0,true
Προσομοίωση και Ανάλυση Κατασκευών,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ,ΔΟΜ025,8,Earino,EUDOXUS,77108689,2,true
